Flag football;Tuesday�20:00 - 21:30;Rugbyterrein (R)
;;
Football;Wednesday�20:00 - 22:00;Artificial grass field 1 (KG1)
;;
Futsal;Tuesday 21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
Futsal;Tuesday 21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
Futsal;Wednesday 21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
Futsal;Thursday�21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
;;
Gaelic football;Tuesday 20:00 - 21:30;Artificial grass field 2 (KG2)
Gaelic football;Friday�18:30 - 20:30;Artificial grass field 1 (KG1)
;;
Golf;Thursday 19:00 - 20:30;External location - Winge Golf & Country Club
;;
Gymnastics;Monday 20:00�- 22:00;Gymnasium (GYMN) Gymzaal
Gymnastics;Tuesday�20:00 - 22:00;Gymnasium (GYMN) Gymzaal Grote Zaal Gymnasium
;;
Handball;Wednesday 20:00 - 21:30;Gebouw De Nayer (GDN) Grote zaal (A+B+C)
Handball;Wednesday 21:30 - 23:00;Gebouw De Nayer (GDN) Grote zaal (A+B+C)
Handball;Wednesday 21:30 - 23:00;Gebouw De Nayer (GDN) Grote zaal (A+B+C)
;;
Heels Body Expressive;Monday 19:00 - 20:00;Gymnasium (GYMN) Grote zaal
;;
High intensity training;Thursday�21:00 - 22:00;Gebouw De Nayer (GDN) Spiegelzaal 1
High intensity training;Thursday 22:00 - 23:00;Gebouw De Nayer (GDN) Spiegelzaal 1
;;
Hip Hop;Monday 19:00 - 20:00;Campus UCLL/HHH - Spiegelzaal
Hip Hop Girly;Monday 20:00 - 21:00;Campus UCLL/HHH - Spiegelzaal
;;
Hockey;Tuesday 20:00 - 21:30;Artificial grass field 1 (KG1)
Hockey;Tuesday 20:00�- 21:30;Artificial grass field 1 (KG1)
Hockey;Thursday 20:00 - 21:30;Artificial grass field 1 (KG1)
;;
Indoor cycling;Monday 19:00 - 20:00;Sporthal UCLL - Unit 6 (floor -1)
Indoor cycling;Monday 20:00 - 21:00;Sporthal UCLL - Unit 6 (floor -1)
Indoor cycling;Tuesday 20:00 - 21:00;Sporthal UCLL - Unit 6 (floor -1)
Indoor cycling;Wednesday 20:00 - 21:00;Sporthal UCLL - Unit 6 (floor -1)
Indoor cycling;Thursday 20:00 - 21:00;Sporthal UCLL - Unit 6 (floor -1)
;;
Indoor football;Tuesday 21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
Indoor football;Tuesday 21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
Indoor football;Wednesday 21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
Indoor football;Thursday�21:00 - 23:00;Topsportshal (TSH) Unit 1,2 & 3
;;
Judo;Monday 19:30 - 21:00;Gebouw De Nayer (GDN) Judozaal
Judo;Wednesday 21:00 - 23:00;Gebouw De Nayer (GDN) Judozaal
Judo;Monday 19:00�- 20:00;Gebouw De Nayer (GDN) Judozaal
Judo;Wednesday 22:00 - 23:00;Gebouw De Nayer (GDN) Judozaal
;;
JuJitsu;Monday 18:00 - 19:30;Gebouw De Nayer (GDN) Judozaal
JuJitsu;Wednesday 18:00 - 19:00;Gebouw De Nayer (GDN) Judozaal
;;
Karate;Tuesday 19:30 - 21:30;Gebouw De Nayer (GDN) Judozaal
